epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.4139,0.37303,1,1,0.00554,0.00036984,0.00036984,0.00036984
2,94.6687,0.0902,0.99733,1,0.01179,0.000725517,0.000725517,0.000725517
3,139.754,0.1075,0.99867,1,0.00613,0.00106653,0.00106653,0.00106653
4,186.483,0.09281,0.99667,1,0.01547,0.00104501,0.00104501,0.00104501
5,237.624,0.0613,1,1,0.00074,0.00102301,0.00102301,0.00102301
6,289.363,0.06418,1,1,7e-05,0.00100101,0.00100101,0.00100101
7,341.544,0.04731,0.99933,1,0.00157,0.000979013,0.000979013,0.000979013
8,394.032,0.04407,1,1,5e-05,0.000957015,0.000957015,0.000957015
9,446.941,0.04009,1,1,0.00014,0.000935018,0.000935018,0.000935018
10,499.889,0.03962,1,1,5e-05,0.00091302,0.00091302,0.00091302
11,552.706,0.0359,1,1,2e-05,0.000891022,0.000891022,0.000891022
